n.label,type(r),type(r1),m.label
cytokine,INTERACTS_WITH,INHIBITS,Interleukin-6
STAT3 gene,INTERACTS_WITH,INHIBITS,Interleukin-6
STAT3 gene,INTERACTS_WITH,INHIBITS,Interleukin-6
receptor,INTERACTS_WITH,INHIBITS,Interleukin-6
Ferritin,INTERACTS_WITH,INHIBITS,Interleukin-6
Ferritin,INTERACTS_WITH,INHIBITS,Interleukin-6
Interleukin-10,INTERACTS_WITH,INHIBITS,Interleukin-6
darunavir,INTERACTS_WITH,INHIBITS,Interleukin-6
Interleukin-10,INTERACTS_WITH,INHIBITS,Interleukin-6
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,Interleukin-6
tocilizumab,INTERACTS_WITH,INHIBITS,Interleukin-6
cytokine,INTERACTS_WITH,INHIBITS,Interleukin-6
CHPT1 wt Allele,INTERACTS_WITH,INHIBITS,Interleukin-6
Blockade,INTERACTS_WITH,INHIBITS,Interleukin-6
Genes,INTERACTS_WITH,INHIBITS,Interleukin-6
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Interleukin-6
Aim,INTERACTS_WITH,INHIBITS,Interleukin-6
ACE2 gene,INTERACTS_WITH,INHIBITS,Interleukin-6
cytokine,INTERACTS_WITH,INHIBITS,Biological Response Modifiers
Interleukin-8,INTERACTS_WITH,INHIBITS,cytokine
Granulocyte-Macrophage Colony-Stimulating Factor,INTERACTS_WITH,INHIBITS,cytokine
Interleukin-1 beta,INTERACTS_WITH,INHIBITS,cytokine
Biological Factors,INTERACTS_WITH,INHIBITS,cytokine
Interleukin-6,INTERACTS_WITH,INHIBITS,cytokine
Hemoglobin,INTERACTS_WITH,INHIBITS,cytokine
cytotoxic T-lymphocyte antigen 4,INTERACTS_WITH,INHIBITS,cytokine
Interleukin-6,INTERACTS_WITH,INHIBITS,cytokine
NF-kappa B,INTERACTS_WITH,INHIBITS,cytokine
Hydroxychloroquine,INTERACTS_WITH,INHIBITS,cytokine
Metformin,INTERACTS_WITH,INHIBITS,cytokine
Biological Factors,INTERACTS_WITH,INHIBITS,cytokine
ACE2 gene,INTERACTS_WITH,INHIBITS,cytokine
ACE2 gene,INTERACTS_WITH,INHIBITS,cytokine
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,cytokine
MicroRNAs,INTERACTS_WITH,INHIBITS,cytokine
Biological Response Modifiers,INTERACTS_WITH,INHIBITS,cytokine
Ergocalciferol,INTERACTS_WITH,INHIBITS,cytokine
Ergocalciferol,INTERACTS_WITH,INHIBITS,cytokine
"ACE2 protein, human",INTERACTS_WITH,INHIBITS,RNA Recognition Motif
"ACE2 protein, human",INTERACTS_WITH,INHIBITS,RNA Recognition Motif
ACE2 gene,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
ACE2 gene,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
Antibodies,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
Antibodies,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
Vaccines,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
Vaccines,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
corilagin,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
Glycyrrhizic Acid,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
Antibodies,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
Antibodies,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
Peptides,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
CAMP gene,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
Proteins,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
Proteins,INTERACTS_WITH,INHIBITS,RNA Recognition Motif
FAM3C gene,INTERACTS_WITH,INHIBITS,Proteins
PTPN6 gene,INTERACTS_WITH,INHIBITS,Proteins
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Proteins
Glycoproteins,INTERACTS_WITH,INHIBITS,Proteins
ACE2 gene,INTERACTS_WITH,INHIBITS,Proteins
ACE2 gene,INTERACTS_WITH,INHIBITS,Proteins
Enzymes,INTERACTS_WITH,INHIBITS,Proteins
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,Proteins
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,Proteins
SNAI2 gene,INTERACTS_WITH,INHIBITS,Proteins
Pharmacologic Substance,INTERACTS_WITH,INHIBITS,Proteins
Pharmacologic Substance,INTERACTS_WITH,INHIBITS,Proteins
"Antibodies, Neutralizing",INTERACTS_WITH,INHIBITS,Proteins
SNAI1 gene,INTERACTS_WITH,INHIBITS,Proteins
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Proteins
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Proteins
ACE2 gene,INTERACTS_WITH,INHIBITS,Proteins
ACE2 gene,INTERACTS_WITH,INHIBITS,Proteins
Small Molecule,INTERACTS_WITH,INHIBITS,Proteins
MicroRNAs,INTERACTS_WITH,INHIBITS,Proteins
MicroRNAs,INTERACTS_WITH,INHIBITS,Proteins
Interleukins,INTERACTS_WITH,INHIBITS,Proteins
Quercetin,INTERACTS_WITH,INHIBITS,Proteins
Antibodies,INTERACTS_WITH,INHIBITS,Duration
Antibiotics,INTERACTS_WITH,INHIBITS,Duration
Adrenal Cortex Hormones,INTERACTS_WITH,INHIBITS,Duration
Vaccines,INTERACTS_WITH,INHIBITS,Duration
Antibiotics,INTERACTS_WITH,INHIBITS,Duration
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Duration
IMPACT gene,INTERACTS_WITH,INHIBITS,Duration
PDCD1 gene,INTERACTS_WITH,INHIBITS,Antibodies
Protamines,INTERACTS_WITH,INHIBITS,Antibodies
ACE2 gene,INTERACTS_WITH,INHIBITS,Antibodies
ACE2 gene,INTERACTS_WITH,INHIBITS,Antibodies
Epitopes,INTERACTS_WITH,INHIBITS,Antibodies
Epitopes,INTERACTS_WITH,INHIBITS,Antibodies
"N,N-Dimethyltryptamine",INTERACTS_WITH,INHIBITS,Antibodies
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Antibodies
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Antibodies
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,Antibodies
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,Antibodies
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Antibodies
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Antibodies
BLNK gene,INTERACTS_WITH,INHIBITS,Antibodies
ACE2 gene,INTERACTS_WITH,INHIBITS,Antibodies
ACE2 gene,INTERACTS_WITH,INHIBITS,Antibodies
Duration,INTERACTS_WITH,INHIBITS,Antibodies
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,Antibodies
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,Antibodies
Hydroxychloroquine,INTERACTS_WITH,INHIBITS,Azithromycin
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Azithromycin
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Azithromycin
Proteins,INTERACTS_WITH,INHIBITS,SNAI1 gene
LINC00891 gene,INTERACTS_WITH,INHIBITS,SNAI1 gene
Interleukin-6,INTERACTS_WITH,INHIBITS,tocilizumab
Ferritin,INTERACTS_WITH,INHIBITS,tocilizumab
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,Interleukin 6 Receptor
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,Interleukin 6 Receptor
"Antibodies, Monoclonal, Humanized",INTERACTS_WITH,INHIBITS,Interleukin 6 Receptor
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Interleukin 6 Receptor
ACE2 gene,INTERACTS_WITH,INHIBITS,receptor
ACE2 gene,INTERACTS_WITH,INHIBITS,receptor
angiotensin converting enzyme 2,INTERACTS_WITH,INHIBITS,receptor
Peptide Hydrolases,INTERACTS_WITH,INHIBITS,receptor
Interleukin-6,INTERACTS_WITH,INHIBITS,receptor
IMPACT gene,INTERACTS_WITH,INHIBITS,ADAMTS2 gene
IMPACT gene,INTERACTS_WITH,INHIBITS,WASF1 gene
Aim,INTERACTS_WITH,INHIBITS,WASF1 gene
SARS coronavirus Ab,INTERACTS_WITH,INHIBITS,Mullerian duct inhibiting substance
Hydroxychloroquine,INTERACTS_WITH,INHIBITS,RAB3D gene
Phosphotransferases,INTERACTS_WITH,INHIBITS,Small Molecule
Proteins,INTERACTS_WITH,INHIBITS,Small Molecule
Endopeptidases,INTERACTS_WITH,INHIBITS,Small Molecule
"PSMD10 protein, human",INTERACTS_WITH,INHIBITS,Small Molecule
p21 K-Ras Protein,INTERACTS_WITH,INHIBITS,Small Molecule
cytokine,INTERACTS_WITH,INHIBITS,Hydroxychloroquine
RAB3D gene,INTERACTS_WITH,INHIBITS,Hydroxychloroquine
ACE2 gene,INTERACTS_WITH,INHIBITS,Hydroxychloroquine
Lipids,INTERACTS_WITH,INHIBITS,Hydroxychloroquine
favipiravir,INTERACTS_WITH,INHIBITS,Hydroxychloroquine
Azithromycin,INTERACTS_WITH,INHIBITS,Hydroxychloroquine
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Hydroxychloroquine
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Hydroxychloroquine
Anti-Antibodies,INTERACTS_WITH,INHIBITS,"Ephrin Type-B Receptor 1, human"
IMPACT gene,INTERACTS_WITH,INHIBITS,Aim
IMPACT gene,INTERACTS_WITH,INHIBITS,Aim
Interleukin-6,INTERACTS_WITH,INHIBITS,Aim
WASF1 gene,INTERACTS_WITH,INHIBITS,Aim
IMPACT gene,INTERACTS_WITH,INHIBITS,Aim
IMPACT gene,INTERACTS_WITH,INHIBITS,Aim
Duration,INTERACTS_WITH,INHIBITS,Adrenal Cortex Hormones
Oxygen,INTERACTS_WITH,INHIBITS,Adrenal Cortex Hormones
TSC22D3 gene,INTERACTS_WITH,INHIBITS,Glucocorticoids
Vaccines,INTERACTS_WITH,INHIBITS,"RNA, Messenger"
Candidate Disease Gene,INTERACTS_WITH,INHIBITS,"RNA, Messenger"
MicroRNAs,INTERACTS_WITH,INHIBITS,"RNA, Messenger"
MicroRNAs,INTERACTS_WITH,INHIBITS,"RNA, Messenger"
DEGS1 wt Allele,INTERACTS_WITH,INHIBITS,"RNA, Messenger"
CXCL9 wt Allele,INTERACTS_WITH,INHIBITS,paired basic amino acid cleaving enzyme
Vaccines,INTERACTS_WITH,INHIBITS,Viral Vaccines
IMPACT gene,INTERACTS_WITH,INHIBITS,Ergocalciferol
Vitamin supplementation,INTERACTS_WITH,INHIBITS,Ergocalciferol
Vitamin supplementation,INTERACTS_WITH,INHIBITS,Ergocalciferol
ACE2 gene,INTERACTS_WITH,INHIBITS,Ergocalciferol
Binding Sites,INTERACTS_WITH,INHIBITS,Ergocalciferol
cytokine,INTERACTS_WITH,INHIBITS,Ergocalciferol
cytokine,INTERACTS_WITH,INHIBITS,Ergocalciferol
Candidate Disease Gene,INTERACTS_WITH,INHIBITS,Glutathione
GSTA4 gene,INTERACTS_WITH,INHIBITS,Glutathione
KEAP1 gene,INTERACTS_WITH,INHIBITS,Antioxidants
Ergocalciferol,INTERACTS_WITH,INHIBITS,Vitamin supplementation
Ergocalciferol,INTERACTS_WITH,INHIBITS,Vitamin supplementation
IMPACT gene,INTERACTS_WITH,INHIBITS,Vaccines
IMPACT gene,INTERACTS_WITH,INHIBITS,Vaccines
Duration,INTERACTS_WITH,INHIBITS,Vaccines
Viral Vaccines,INTERACTS_WITH,INHIBITS,Vaccines
Anti-Antibodies,INTERACTS_WITH,INHIBITS,Vaccines
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,Vaccines
"RNA, Messenger",INTERACTS_WITH,INHIBITS,Vaccines
"Delta-Like Protein 1, human",INTERACTS_WITH,INHIBITS,Vaccines
"Delta-Like Protein 1, human",INTERACTS_WITH,INHIBITS,Vaccines
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,Vaccines
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,Vaccines
other medicated shampoos in ATC,INTERACTS_WITH,INHIBITS,Vaccines
"Antibodies, Neutralizing",INTERACTS_WITH,INHIBITS,Vaccines
"Antibodies, Neutralizing",INTERACTS_WITH,INHIBITS,Vaccines
ACE2 gene,INTERACTS_WITH,INHIBITS,angiotensin converting enzyme 2
receptor,INTERACTS_WITH,INHIBITS,angiotensin converting enzyme 2
Genes,INTERACTS_WITH,INHIBITS,CEL gene
Binding Sites,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Candidate Disease Gene,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Transforming Growth Factor beta,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Proteins,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Proteins,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Importins,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Reactive Oxygen Species,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
ACE2 gene,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
ACE2 gene,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
IMPACT gene,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
IMPACT gene,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Cathepsin L,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Cathepsin L,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
"3C-like protease, SARS coronavirus",INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Enzymes,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Hydroxychloroquine,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Hydroxychloroquine,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Azithromycin,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Azithromycin,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Chloroquine,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Chloroquine,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Interleukin 6 Receptor,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Membrane Transport Proteins,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
"FRAP1 protein, human",INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Ion Channel,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
"Receptors, Virus",INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
rho GTP-Binding Proteins,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Endopeptidases,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Peptide Hydrolases,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
DNA Helicases,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
cytokine,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Interleukin-6,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Duration,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
TMPRSS2 gene,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
pemetrexed,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Cisplatin,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
Transforming Growth Factor beta,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
IMPACT gene,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
IMPACT gene,INTERACTS_WITH,INHIBITS,Pharmaceutical Preparations
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,"ACE2 protein, human"
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,"ACE2 protein, human"
RNA-Directed RNA Polymerase,INTERACTS_WITH,INHIBITS,Antiviral Agents
Endopeptidases,INTERACTS_WITH,INHIBITS,Antiviral Agents
Endopeptidases,INTERACTS_WITH,INHIBITS,Antiviral Agents
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Enzymes
Proteins,INTERACTS_WITH,INHIBITS,Enzymes
Monoclonal Antibodies,INTERACTS_WITH,INHIBITS,IMPACT gene
ACE2 gene,INTERACTS_WITH,INHIBITS,IMPACT gene
Elements,INTERACTS_WITH,INHIBITS,IMPACT gene
Aim,INTERACTS_WITH,INHIBITS,IMPACT gene
Aim,INTERACTS_WITH,INHIBITS,IMPACT gene
Nucleic Acids,INTERACTS_WITH,INHIBITS,IMPACT gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,IMPACT gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,IMPACT gene
Duration,INTERACTS_WITH,INHIBITS,IMPACT gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,IMPACT gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,IMPACT gene
Ergocalciferol,INTERACTS_WITH,INHIBITS,IMPACT gene
ADAMTS2 gene,INTERACTS_WITH,INHIBITS,IMPACT gene
WASF1 gene,INTERACTS_WITH,INHIBITS,IMPACT gene
Vaccines,INTERACTS_WITH,INHIBITS,IMPACT gene
Vaccines,INTERACTS_WITH,INHIBITS,IMPACT gene
Aim,INTERACTS_WITH,INHIBITS,IMPACT gene
Aim,INTERACTS_WITH,INHIBITS,IMPACT gene
IMPACT gene,INTERACTS_WITH,INHIBITS,Elements
ACE2 gene,INTERACTS_WITH,INHIBITS,AGTR1 gene
"RAI3 protein, human",INTERACTS_WITH,INHIBITS,Mediator brand of benfluorex hydrochloride
erlotinib,INTERACTS_WITH,INHIBITS,Mediator brand of benfluorex hydrochloride
ACE2 gene,INTERACTS_WITH,INHIBITS,Mediator brand of benfluorex hydrochloride
ACE2 gene,INTERACTS_WITH,INHIBITS,Mediator brand of benfluorex hydrochloride
GA-Binding Protein Transcription Factor,INTERACTS_WITH,INHIBITS,Mediator brand of benfluorex hydrochloride
"RAI3 protein, human",INTERACTS_WITH,INHIBITS,Mediator brand of benfluorex hydrochloride
"Antibodies, Blocking",INTERACTS_WITH,INHIBITS,Mediator brand of benfluorex hydrochloride
YAP1 gene,INTERACTS_WITH,INHIBITS,Mediator brand of benfluorex hydrochloride
SGCB gene,INTERACTS_WITH,INHIBITS,FTO gene
KLF9 gene,INTERACTS_WITH,INHIBITS,PPP1R15A gene
KLF9 gene,INTERACTS_WITH,INHIBITS,PPP1R15A gene
KLF9 gene,INTERACTS_WITH,INHIBITS,PPP1R15A gene
KLF9 gene,INTERACTS_WITH,INHIBITS,PPP1R15A gene
"APEX1 protein, human",INTERACTS_WITH,INHIBITS,DICER1 gene
MicroRNAs,INTERACTS_WITH,INHIBITS,DICER1 gene
MicroRNAs,INTERACTS_WITH,INHIBITS,DICER1 gene
DUSP1 gene,INTERACTS_WITH,INHIBITS,YAP1 gene
DUSP1 gene,INTERACTS_WITH,INHIBITS,YAP1 gene
EZR gene,INTERACTS_WITH,INHIBITS,YAP1 gene
INT-777,INTERACTS_WITH,INHIBITS,YAP1 gene
"BCAR1 protein, human",INTERACTS_WITH,INHIBITS,YAP1 gene
"BCAR1 protein, human",INTERACTS_WITH,INHIBITS,YAP1 gene
Phosphotransferases,INTERACTS_WITH,INHIBITS,YAP1 gene
Mediator brand of benfluorex hydrochloride,INTERACTS_WITH,INHIBITS,YAP1 gene
INT-777,INTERACTS_WITH,INHIBITS,YAP1 gene
Blockade,INTERACTS_WITH,INHIBITS,YAP1 gene
Phosphotransferases,INTERACTS_WITH,INHIBITS,YAP1 gene
SAG gene,INTERACTS_WITH,INHIBITS,YAP1 gene
RAD 001,INTERACTS_WITH,INHIBITS,YAP1 gene
"BCAR1 protein, human",INTERACTS_WITH,INHIBITS,YAP1 gene
"BCAR1 protein, human",INTERACTS_WITH,INHIBITS,YAP1 gene
TEAD4 gene,INTERACTS_WITH,INHIBITS,YAP1 gene
BCAR1 gene,INTERACTS_WITH,INHIBITS,YAP1 gene
BCAR1 gene,INTERACTS_WITH,INHIBITS,YAP1 gene
montelukast,INTERACTS_WITH,INHIBITS,CYSLTR1 gene
montelukast,INTERACTS_WITH,INHIBITS,CYSLTR1 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Ouabain
POU6F1 gene,INTERACTS_WITH,INHIBITS,PRKCB gene
TMEM173 gene,INTERACTS_WITH,INHIBITS,SOX2 Transcription Factor
TMEM173 gene,INTERACTS_WITH,INHIBITS,SOX2 Transcription Factor
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,SOX2 Transcription Factor
METTL3 gene,INTERACTS_WITH,INHIBITS,SOX2 Transcription Factor
METTL3 gene,INTERACTS_WITH,INHIBITS,SOX2 Transcription Factor
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,SOX2 Transcription Factor
METTL3 gene,INTERACTS_WITH,INHIBITS,SOX2 Transcription Factor
METTL3 gene,INTERACTS_WITH,INHIBITS,SOX2 Transcription Factor
FTO gene,INTERACTS_WITH,INHIBITS,SGCB gene
BRAF gene,INTERACTS_WITH,INHIBITS,Vemurafenib
MNT gene,INTERACTS_WITH,INHIBITS,ACO2 gene
MNT gene,INTERACTS_WITH,INHIBITS,ACO2 gene
SMAD3 gene,INTERACTS_WITH,INHIBITS,LINC00511 gene
CDK9 gene,INTERACTS_WITH,INHIBITS,UBA1 gene
TP53 gene,INTERACTS_WITH,INHIBITS,USP7 gene
"RAF Proto-Oncogene Serine/Threonine-Protein Kinase, human",INTERACTS_WITH,INHIBITS,USP7 gene
"RAF Proto-Oncogene Serine/Threonine-Protein Kinase, human",INTERACTS_WITH,INHIBITS,USP7 gene
Genes,INTERACTS_WITH,INHIBITS,EZH2 gene
KLF2 gene,INTERACTS_WITH,INHIBITS,EZH2 gene
Genes,INTERACTS_WITH,INHIBITS,EZH2 gene
KLF2 gene,INTERACTS_WITH,INHIBITS,EZH2 gene
ANGPTL2 gene,INTERACTS_WITH,INHIBITS,DCLK1 gene
Mediator brand of benfluorex hydrochloride,INTERACTS_WITH,INHIBITS,erlotinib
VIM gene,INTERACTS_WITH,INHIBITS,erlotinib
VIM gene,INTERACTS_WITH,INHIBITS,erlotinib
CDH2 gene,INTERACTS_WITH,INHIBITS,erlotinib
TWIST1 gene,INTERACTS_WITH,INHIBITS,USP13 gene
Mucin-1 protein,INTERACTS_WITH,INHIBITS,MYC Family Genes
IRF1 gene,INTERACTS_WITH,INHIBITS,KPNA2 gene
CD274 gene,INTERACTS_WITH,INHIBITS,KPNA2 gene
ANGPTL4 gene,INTERACTS_WITH,INHIBITS,Acetyl Coenzyme A
EIF3G gene,INTERACTS_WITH,INHIBITS,CCT3 gene
EIF3G gene,INTERACTS_WITH,INHIBITS,CCT3 gene
LINC00891 gene,INTERACTS_WITH,INHIBITS,GATA2 gene
YAP1 gene,INTERACTS_WITH,INHIBITS,RAD 001
Glucocorticoids,INTERACTS_WITH,INHIBITS,TSC22D3 gene
"Neurogenic Locus Notch Homolog Protein 3, human",INTERACTS_WITH,INHIBITS,PRDX5 gene
NOTCH3 gene,INTERACTS_WITH,INHIBITS,PRDX5 gene
CENPM gene,INTERACTS_WITH,INHIBITS,FKBP12-rapamycin associated protein
ubiquitin-protein ligase,INTERACTS_WITH,INHIBITS,Deubiquitinating Enzymes
MCL1 gene,INTERACTS_WITH,INHIBITS,Cyanides
"ITK protein, human",INTERACTS_WITH,INHIBITS,E-Cadherin
"ITK protein, human",INTERACTS_WITH,INHIBITS,E-Cadherin
phospholipid-hydroperoxide glutathione peroxidase,INTERACTS_WITH,INHIBITS,GPX4 gene
NOTCH3 gene,INTERACTS_WITH,INHIBITS,GPX4 gene
STAT3 gene,INTERACTS_WITH,INHIBITS,palbociclib
Interleukin-1 beta,INTERACTS_WITH,INHIBITS,palbociclib
STAT3 gene,INTERACTS_WITH,INHIBITS,palbociclib
CRABP2 gene,INTERACTS_WITH,INHIBITS,Taxol
MEG3 gene,INTERACTS_WITH,INHIBITS,heterogeneous nuclear ribonucleoprotein A2-B1
METTL3 gene,INTERACTS_WITH,INHIBITS,heterogeneous nuclear ribonucleoprotein A2-B1
MEG3 gene,INTERACTS_WITH,INHIBITS,heterogeneous nuclear ribonucleoprotein A2-B1
MicroRNAs,INTERACTS_WITH,INHIBITS,"APEX1 protein, human"
DICER1 gene,INTERACTS_WITH,INHIBITS,"APEX1 protein, human"
"ITK protein, human",INTERACTS_WITH,INHIBITS,SH2B3 gene
STAT3 gene,INTERACTS_WITH,INHIBITS,SH2B3 gene
STAT3 gene,INTERACTS_WITH,INHIBITS,SH2B3 gene
MYC gene,INTERACTS_WITH,INHIBITS,RNF180 gene
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,MYC gene
RNF180 gene,INTERACTS_WITH,INHIBITS,MYC gene
GPX4 gene,INTERACTS_WITH,INHIBITS,NOTCH3 gene
PRDX5 gene,INTERACTS_WITH,INHIBITS,NOTCH3 gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,CDH2 gene
erlotinib,INTERACTS_WITH,INHIBITS,CDH2 gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,CDH2 gene
Cisplatin,INTERACTS_WITH,INHIBITS,USP1 gene
Taxol,INTERACTS_WITH,INHIBITS,CRABP2 gene
USP7 gene,INTERACTS_WITH,INHIBITS,"RAF Proto-Oncogene Serine/Threonine-Protein Kinase, human"
USP7 gene,INTERACTS_WITH,INHIBITS,"RAF Proto-Oncogene Serine/Threonine-Protein Kinase, human"
Mitogen-Activated Protein Kinase Kinases,INTERACTS_WITH,INHIBITS,"RAF Proto-Oncogene Serine/Threonine-Protein Kinase, human"
Ara-C,INTERACTS_WITH,INHIBITS,PLK1 gene
ADH5 gene,INTERACTS_WITH,INHIBITS,FIGF gene
ADH5 gene,INTERACTS_WITH,INHIBITS,FIGF gene
ADH5 gene,INTERACTS_WITH,INHIBITS,FIGF gene
ADH5 gene,INTERACTS_WITH,INHIBITS,FIGF gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,CDH17 gene
gefitinib,INTERACTS_WITH,INHIBITS,SETD3 gene
Antibodies,INTERACTS_WITH,INHIBITS,Protamines
"FRAP1 protein, human",INTERACTS_WITH,INHIBITS,CHML gene
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,ADAMDEC1 gene
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,ADAMDEC1 gene
FOSL1 gene,INTERACTS_WITH,INHIBITS,FOXM1 gene
FOXK1 gene,INTERACTS_WITH,INHIBITS,RNASEH1-AS1 gene
FOXK1 gene,INTERACTS_WITH,INHIBITS,RNASEH1-AS1 gene
RNASEH1-AS1 gene,INTERACTS_WITH,INHIBITS,FOXK1 gene
RNASEH1-AS1 gene,INTERACTS_WITH,INHIBITS,FOXK1 gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,CDH1 gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,CDH1 gene
USP13 gene,INTERACTS_WITH,INHIBITS,TWIST1 gene
MUC17 gene,INTERACTS_WITH,INHIBITS,UHRF1 gene
MUC17 gene,INTERACTS_WITH,INHIBITS,UHRF1 gene
xanthohumol,INTERACTS_WITH,INHIBITS,PBK gene
PPP1R15A gene,INTERACTS_WITH,INHIBITS,KLF9 gene
